year,player_id,name,country,goals,assists,yellow_cards,red_cards,minutes_played,img_url
2012,155050,Sharif Mukhammad,Afghanistan,0,0,0,0,57,https://img.a.transfermarkt.technology/portrait/header/155050-1611774975.jpg?lm=1
2012,35607,Armend Dallku,Albania,0,1,4,0,1620,https://img.a.transfermarkt.technology/portrait/header/35607-1670838407.png?lm=1
2012,38267,Mergim Mavraj,Albania,0,0,5,0,1606,https://img.a.transfermarkt.technology/portrait/header/38267-1627323195.jpg?lm=1
2012,58514,Elis Bakaj,Albania,6,2,5,0,1320,https://img.a.transfermarkt.technology/portrait/header/58514-1616166994.png?lm=1
2012,47435,Andi Lila,Albania,1,0,7,0,1297,https://img.a.transfermarkt.technology/portrait/header/47435-1577735350.JPG?lm=1
2012,59150,Ahmed Januzi,Albania,4,0,3,0,943,https://img.a.transfermarkt.technology/portrait/header/59150-1599922778.jpg?lm=1
2012,54714,Emiljano Vila,Albania,0,0,3,0,855,https://img.a.transfermarkt.technology/portrait/header/54714-1605771740.jpg?lm=1
2012,33042,Migjen Basha,Albania,1,0,2,0,746,https://img.a.transfermarkt.technology/portrait/header/33042-1516967026.png?lm=1
2012,37795,Astrit Ajdarevic,Albania,1,1,1,0,731,https://img.a.transfermarkt.technology/portrait/header/37795-1479731314.jpg?lm=1
2012,12149,Lorik Cana,Albania,0,0,6,0,629,https://img.a.transfermarkt.technology/portrait/header/12149-1418653478.jpg?lm=1
2012,6075,Erjon Bogdani,Albania,1,0,0,0,304,https://img.a.transfermarkt.technology/portrait/header/6075-1481706845.jpg?lm=1
2012,57162,Sofiane Feghouli,Algeria,6,4,4,0,1839,https://img.a.transfermarkt.technology/portrait/header/57162-1695219817.png?lm=1
2012,8060,Carl Medjani,Algeria,1,2,1,0,1697,https://img.a.transfermarkt.technology/portrait/header/8060-1546172376.jpg?lm=1
2012,34226,Djamel Abdoun,Algeria,4,9,2,0,1566,https://img.a.transfermarkt.technology/portrait/header/s_34226_703_2013_09_26_1.jpg?lm=1
2012,144779,Saphir Taïder,Algeria,3,0,5,0,1518,https://img.a.transfermarkt.technology/portrait/header/144779-1583613481.jpg?lm=1
2012,57170,Féthi Harek,Algeria,0,0,3,0,1399,https://img.a.transfermarkt.technology/portrait/header/s_57170_595_2012_1.jpg?lm=1
2012,80293,Aïssa Mandi,Algeria,1,0,1,0,1392,https://img.a.transfermarkt.technology/portrait/header/80293-1704566125.jpg?lm=1
2012,57368,Sofyane Cherfa,Algeria,0,0,3,0,1373,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
2012,80191,Mehdi Mostefa,Algeria,1,1,2,1,1373,https://img.a.transfermarkt.technology/portrait/header/s_80191_3614_2012_1.jpg?lm=1
2012,123921,Mourad Satli,Algeria,0,0,3,0,1350,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
2012,77826,Ryad Boudebouz,Algeria,1,4,0,0,1301,https://img.a.transfermarkt.technology/portrait/header/77826-1449589019.jpg?lm=1
2012,132414,Dolly Menga,Angola,2,2,5,0,1555,https://img.a.transfermarkt.technology/portrait/header/132414-1439899267.jpg?lm=1
2012,51191,Djalma,Angola,1,8,1,0,1315,https://img.a.transfermarkt.technology/portrait/header/51191-1567777123.png?lm=1
2012,60799,Wilson Eduardo,Angola,7,1,4,0,1286,https://img.a.transfermarkt.technology/portrait/header/60799-1669801054.png?lm=1
2012,130963,Rudy,Angola,3,6,0,0,1153,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
2012,64484,Manucho,Angola,6,3,5,0,1014,https://img.a.transfermarkt.technology/portrait/header/64484-1447238275.jpg?lm=1
2012,37947,Mateus,Angola,3,1,2,0,953,https://img.a.transfermarkt.technology/portrait/header/37947-1510676783.jpg?lm=1
2012,101201,Igor Vetokele,Angola,3,2,1,0,586,https://img.a.transfermarkt.technology/portrait/header/101201-1487775215.jpg?lm=1
2012,69660,Jonás Ramalho,Angola,0,0,0,0,477,https://img.a.transfermarkt.technology/portrait/header/69660-1447151944.jpg?lm=1
2012,2712,Nando Rafael,Angola,3,0,1,0,453,https://img.a.transfermarkt.technology/portrait/header/2712-1438178524.jpg?lm=1
2012,45306,Evandro Brandão,Angola,2,0,2,0,317,https://img.a.transfermarkt.technology/portrait/header/45306-1508857545.jpg?lm=1
