year,player_id,name,country,goals,assists,yellow_cards,red_cards,minutes_played,img_url
2012,80191,Mehdi Mostefa,Algeria,1,1,2,1,1373,https://img.a.transfermarkt.technology/portrait/header/s_80191_3614_2012_1.jpg?lm=1
2012,174842,El Arbi Hillel Soudani,Algeria,2,0,1,1,630,https://img.a.transfermarkt.technology/portrait/header/174842-1680214623.JPG?lm=1
2012,45314,Federico Fazio,Argentina,4,0,3,2,968,https://img.a.transfermarkt.technology/portrait/header/45314-1644915146.jpg?lm=1
2012,65072,Juan Manuel Insaurralde,Argentina,1,2,1,2,1553,https://img.a.transfermarkt.technology/portrait/header/65072-1636411262.JPG?lm=1
2012,6150,Fabricio Coloccini,Argentina,0,1,2,1,1366,https://img.a.transfermarkt.technology/portrait/header/6150-1637344797.JPG?lm=1
2012,30690,Sergio Romero,Argentina,0,0,1,1,1414,https://img.a.transfermarkt.technology/portrait/header/30690-1596803710.jpg?lm=1
2012,30747,Emiliano Armenteros,Argentina,2,2,7,1,1036,https://img.a.transfermarkt.technology/portrait/header/s_30747_331_2012_3.jpg?lm=1
2012,30803,Cristian Villagra,Argentina,0,2,4,1,1552,https://img.a.transfermarkt.technology/portrait/header/30803-1674562890.jpg?lm=1
2012,41281,Nicolás Pareja,Argentina,2,0,5,1,1405,https://img.a.transfermarkt.technology/portrait/header/41281-1447240289.jpg?lm=1
2012,50570,Ezequiel Lavezzi,Argentina,5,2,2,1,1105,https://img.a.transfermarkt.technology/portrait/header/50570-1595579124.jpg?lm=1
2012,54794,Facundo Parra,Argentina,2,0,0,1,175,https://img.a.transfermarkt.technology/portrait/header/s_54794_800_2012_1.jpg?lm=1
2012,55993,Pablo Álvarez,Argentina,0,0,3,1,1545,https://img.a.transfermarkt.technology/portrait/header/s_55993_1627_2013_09_20_1.jpg?lm=1
2012,568,Martin Stranzl,Austria,3,0,5,1,2063,https://img.a.transfermarkt.technology/portrait/header/568-1437474557.jpg?lm=1
2012,64016,Yasin Pehlivan,Austria,0,0,4,1,903,https://img.a.transfermarkt.technology/portrait/header/64016-1666031881.png?lm=1
2012,36903,Anton Amelchenko,Belarus,0,0,0,1,272,https://img.a.transfermarkt.technology/portrait/header/36903-1554980511.png?lm=1
2012,59352,Aleksandr Martynovich,Belarus,2,0,2,1,983,https://img.a.transfermarkt.technology/portrait/header/59352-1690298703.png?lm=1
2012,9667,Stijn Stijnen,Belgium,0,0,5,1,1289,https://img.a.transfermarkt.technology/portrait/header/9667-1537874332.jpg?lm=1
2012,13099,Bram Verbist,Belgium,0,0,0,1,1566,https://img.a.transfermarkt.technology/portrait/header/13099-1436700268.jpg?lm=1
2012,13286,Thomas Chatelle,Belgium,0,1,0,1,67,https://img.a.transfermarkt.technology/portrait/header/13286-1537879904.jpg?lm=1
2012,18514,Giuseppe Rossini,Belgium,5,0,3,1,898,https://img.a.transfermarkt.technology/portrait/header/18514-1617110395.jpg?lm=1
2012,20296,Steve Colpaert,Belgium,0,0,3,1,1509,https://img.a.transfermarkt.technology/portrait/header/20296-1487692789.jpg?lm=1
2012,20362,Kenny Van Hoevelen,Belgium,0,0,2,1,1042,https://img.a.transfermarkt.technology/portrait/header/20362-1617110722.jpg?lm=1
2012,30741,Sepp De Roover,Belgium,1,2,2,1,1732,https://img.a.transfermarkt.technology/portrait/header/30741-1418935140.jpg?lm=1
2012,42704,Gertjan De Mets,Belgium,0,0,4,1,1584,https://img.a.transfermarkt.technology/portrait/header/42704-1487770629.jpg?lm=1
2012,52506,Kristof Van Hout,Belgium,0,0,2,1,1949,https://img.a.transfermarkt.technology/portrait/header/52506-1628503727.jpg?lm=1
2012,60971,Stijn Wuytens,Belgium,2,2,0,1,950,https://img.a.transfermarkt.technology/portrait/header/60971-1626772557.jpg?lm=1
2012,9354,Sejad Salihovic,Bosnia-Herzegovina,3,0,3,1,657,https://img.a.transfermarkt.technology/portrait/header/9354-1615916947.jpg?lm=1
2012,21175,Vedad Ibisevic,Bosnia-Herzegovina,18,4,7,1,2260,https://img.a.transfermarkt.technology/portrait/header/21175-1532355086.jpg?lm=1
2012,27861,Senijad Ibricic,Bosnia-Herzegovina,2,2,4,1,1016,https://img.a.transfermarkt.technology/portrait/header/27861-1519854617.png?lm=1
2012,44059,Ervin Zukanovic,Bosnia-Herzegovina,5,2,2,1,1840,https://img.a.transfermarkt.technology/portrait/header/44059-1448964735.jpg?lm=1
2012,46340,Semir Stilic,Bosnia-Herzegovina,3,4,3,1,1017,https://img.a.transfermarkt.technology/portrait/header/46340-1695417839.jpg?lm=1
2012,78818,Dario Dumic,Bosnia-Herzegovina,2,0,2,1,1113,https://img.a.transfermarkt.technology/portrait/header/78818-1657048651.jpg?lm=1
